ds,y
11/03/2020,1
12/03/2020,0
13/03/2020,4
14/03/2020,4
15/03/2020,8
16/03/2020,10
17/03/2020,16
18/03/2020,7
19/03/2020,9
20/03/2020,13
21/03/2020,4
22/03/2020,5
23/03/2020,15
24/03/2020,5
25/03/2020,0
26/03/2020,4
27/03/2020,0
28/03/2020,7
29/03/2020,4
30/03/2020,5
31/03/2020,21
01/04/2020,3
02/04/2020,5
03/04/2020,8
04/04/2020,7
05/04/2020,10
06/04/2020,2
07/04/2020,7
08/04/2020,4
09/04/2020,1
10/04/2020,0
11/04/2020,8
12/04/2020,12
13/04/2020,7
14/04/2020,16
15/04/2020,5
16/04/2020,0
17/04/2020,6
18/04/2020,10
19/04/2020,17
20/04/2020,33
21/04/2020,6
22/04/2020,20
23/04/2020,38
24/04/2020,52
25/04/2020,40
26/04/2020,63
27/04/2020,65
28/04/2020,31
29/04/2020,30
30/04/2020,14
01/05/2020,27
02/05/2020,15
03/05/2020,13
04/05/2020,33
05/05/2020,20
06/05/2020,26
07/05/2020,27
08/05/2020,11
09/05/2020,12
10/05/2020,16
11/05/2020,6
12/05/2020,20
13/05/2020,26
14/05/2020,10
15/05/2020,10
16/05/2020,25
17/05/2020,21
18/05/2020,11
19/05/2020,35
20/05/2020,1
21/05/2020,27
22/05/2020,13
23/05/2020,21
24/05/2020,52
25/05/2020,41
26/05/2020,137
27/05/2020,150
28/05/2020,61
29/05/2020,28
30/05/2020,62
31/05/2020,13
01/06/2020,10
02/06/2020,40
03/06/2020,66
04/06/2020,48
05/06/2020,4
06/06/2020,13
07/06/2020,21
08/06/2020,22
09/06/2020,2
10/06/2020,10
11/06/2020,8
12/06/2020,3
13/06/2020,4
14/06/2020,5
15/06/2020,16
16/06/2020,10
17/06/2020,9
18/06/2020,23
19/06/2020,3
20/06/2020,0
21/06/2020,0
22/06/2020,1
23/06/2020,40
24/06/2020,10
25/06/2020,9
26/06/2020,4
27/06/2020,19
28/06/2020,4
29/06/2020,2
30/06/2020,8
01/07/2020,7
02/07/2020,12
03/07/2020,3
04/07/2020,5
05/07/2020,2
06/07/2020,1
07/07/2020,4
08/07/2020,13
09/07/2020,60
10/07/2020,300
11/07/2020,57
12/07/2020,106
13/07/2020,29
14/07/2020,19
15/07/2020,6
16/07/2020,16
17/07/2020,10
18/07/2020,6
19/07/2020,21
20/07/2020,6
21/07/2020,0
22/07/2020,22
23/07/2020,1
24/07/2020,11
25/07/2020,6
26/07/2020,12
27/07/2020,23
28/07/2020,5
29/07/2020,0
30/07/2020,4
31/07/2020,1
01/08/2020,0
02/08/2020,8
03/08/2020,5
04/08/2020,6
05/08/2020,5
